index,city,state,zip_code
465,Pawtucket,Rhode Island,2860
466,Central Falls,Rhode Island,2863
467,Pawtucket,Rhode Island,2860
468,Woonsocket,Rhode Island,2895
469,Woonsocket,Rhode Island,2895
470,Woonsocket,Rhode Island,2895
471,Lincoln,Rhode Island,2865
472,Woonsocket,Rhode Island,2895
473,Woonsocket,Rhode Island,2895
474,Woonsocket,Rhode Island,2895
475,Pawtucket,Rhode Island,2861
476,Pawtucket,Rhode Island,2860
477,Pawtucket,Rhode Island,2860
478,Central Falls,Rhode Island,2863
479,Woonsocket,Rhode Island,2895
480,Woonsocket,Rhode Island,2895
481,Woonsocket,Rhode Island,2895
482,North Providence,Rhode Island,2904
483,Woonsocket,Rhode Island,2895
484,Lincoln,Rhode Island,2865
485,Woonsocket,Rhode Island,2895
486,Woonsocket,Rhode Island,2895
487,Woonsocket,Rhode Island,2895
488,Woonsocket,Rhode Island,2895
489,Woonsocket,Rhode Island,2895
490,Woonsocket,Rhode Island,2895
491,Woonsocket,Rhode Island,2895
492,Lincoln,Rhode Island,2865
493,Woonsocket,Rhode Island,2895
494,Warren,Rhode Island,2885
495,Warren,Rhode Island,2885
496,Central Falls,Rhode Island,2863
497,Providence,Rhode Island,2909
498,Providence,Rhode Island,2905
499,Providence,Rhode Island,2909
500,Providence,Rhode Island,2907
501,Pawtucket,Rhode Island,2861
502,Providence,Rhode Island,2909
503,Providence,Rhode Island,2909
504,Pawtucket,Rhode Island,2860
505,Providence,Rhode Island,2909
506,Pawtucket,Rhode Island,2860
507,Central Falls,Rhode Island,2863
508,Providence,Rhode Island,2908
509,Providence,Rhode Island,2907
510,Central Falls,Rhode Island,2863
511,Providence,Rhode Island,2905
512,Warwick,Rhode Island,2889
513,Providence,Rhode Island,2909
514,North Providence,Rhode Island,2904
515,Warren,Rhode Island,2885
516,Warren,Rhode Island,2885
517,Providence,Rhode Island,2905
518,Lincoln,Rhode Island,2865
519,Warwick,Rhode Island,2889
520,Central Falls,Rhode Island,2863
