index,bed,bath,acre_lot,zip_code,house_size,price
12184,3,3,0.35,2818,2300,749900
12185,3,3,0.3,2921,2500,569000
12186,3,3,0.09,2905,1658,239900
12187,3,3,0.06,2909,1394,240000
12188,3,3,0.08,2910,1600,305000
12189,3,3,0.09,2905,1658,239900
12190,3,3,0.34,2809,1462,384900
12191,3,3,0.16,2914,1350,315000
12192,3,3,0.5,2864,1568,444999
12193,3,3,0.15,2910,1320,269000
12194,3,3,,2809,2489,1050000
12195,3,3,,2921,2165,429900
12196,3,3,2.42,2917,1248,474900
12197,3,3,0.1,2861,1752,399900
12198,3,3,,2908,1536,319900
12199,3,3,0.22,2920,1650,479000
12200,3,3,0.78,2829,3452,319900
12201,3,3,0.11,2889,1449,514900
12202,3,3,0.27,2909,1749,299900
12203,3,3,1.5,2865,1755,649900
12204,3,3,0.4,2904,2393,385000
12205,3,3,0.48,2889,2994,450000
12206,3,3,0.18,2904,1242,324900
12207,3,3,0.93,2917,5378,325000
12208,3,3,0.41,2864,2348,715000
12209,3,3,0.13,2809,7494,799900
12210,3,3,0.16,2895,1580,389900
12211,3,3,,2886,1180,369000
12212,3,3,0.07,2904,1490,219000
12213,3,3,0.48,2919,2700,650000
12214,3,3,0.79,2917,1683,499000
12215,3,3,0.76,2865,2600,740000
12216,3,3,0.11,2806,2212,719900
12217,3,3,0.33,2908,2724,470000
12218,3,3,0.28,2895,1656,295900
12219,3,3,0.07,2886,1600,429900
12220,3,3,0.11,2905,1500,235000
12221,3,3,0.1,2908,1555,409900
12222,3,3,6.67,2917,1860,530000
12223,3,3,0.19,2895,1275,419000
12224,3,3,,2864,1450,429900
12225,3,3,1,2857,1904,475000
12226,3,3,0.99,2864,2229,599000
12227,3,3,0.09,2861,1056,395000
12228,3,3,0.1,2919,1200,299999
12229,3,3,0.23,2864,1248,439900
12230,3,3,0.76,2806,2100,559900
12231,3,3,1.26,2806,2008,495000
12232,3,3,0.38,2888,1394,449900
12233,3,3,0.23,2809,,530000
12234,3,3,0.18,2921,1558,469999
12235,3,3,0.13,2806,1560,619000
12236,3,3,0.25,2904,1623,359900
12237,3,3,1,2919,2268,390000
12238,3,3,1.33,2889,2214,1795000
12239,3,3,1.77,2903,2245,1325000
12240,3,3,0.55,2919,2600,625000
12241,3,3,0.15,2860,1938,279900
12242,3,3,0.17,2889,1824,451000
12243,3,3,0.11,2889,1582,479900
12244,3,3,0.14,2864,2208,449900
12245,3,3,0.19,2809,2217,569900
12246,3,3,0.07,2886,1600,399900
12247,3,3,0.07,2886,1600,399900
12248,3,3,0.11,2861,3359,200000
12249,3,3,1.16,2919,1768,469900
12250,3,3,0.08,2905,1188,335000
12251,3,3,0.08,2906,2512,869000
12252,3,3,0.67,2806,2583,749900
12253,3,3,0.1,2904,1544,359900
12254,3,3,0.11,2908,1954,314900
12255,3,3,0.11,2908,1500,379900
12256,3,3,0.11,2861,1373,350000
12257,3,3,0.17,2886,1952,479900
12258,3,3,0.14,2895,1568,389900
12259,3,3,0.09,2914,1134,329000
12260,3,3,2,2830,1500,449900
12261,3,3,1.16,2896,1912,535000
12262,3,3,0.19,2915,1348,319900
12263,3,3,0.35,2885,2063,565000
12264,3,3,0.11,2895,1635,299000
12265,3,3,0.11,2889,2222,499900
12266,3,3,0.88,2865,2302,589900
12267,3,3,0.42,2904,2300,629900
12268,3,3,0.14,2861,1752,424000
12269,3,3,0.09,2914,1705,349000
12270,3,3,0.49,2885,2430,509000
12271,3,3,0.28,2904,1736,399900
12272,3,3,0.29,2920,1820,574900
12273,3,3,0.46,2865,2020,529900
12274,3,3,0.08,2908,1328,350000
