index,acre_lot,house_size,price
551,0.09,3573,457000
552,0.09,6097,475000
553,0.13,6033,479900
554,0.1,4454,339900
555,0.37,6310,449999
556,0.06,5060,480000
557,0.11,3503,299900
558,0.09,3600,499900
559,0.11,5936,449000
560,0.08,4303,399000
561,0.11,4033,489000
562,0.09,5661,540000
563,0.19,2822,525000
564,0.11,4548,539900
565,0.18,7468,650000
566,0.05,2706,374900
567,0.09,4513,425000
568,0.11,4464,339900
569,0.09,6097,475000
570,0.09,3573,457000
571,0.37,6310,449999
572,0.11,3503,299900
573,0.11,5936,449000
574,0.11,4033,489000
575,0.18,7468,650000
576,0.11,4548,539900
577,0.29,4392,489000
578,0.07,3012,575000
579,0.07,3012,575000
580,0.05,2706,374900
581,0.1,5557,599000
582,0.09,4356,329900
583,0.08,4500,365000
584,0.17,5448,549900
585,0.09,5977,269000
586,0.09,4513,425000
587,0.1,4235,499900
588,0.08,5421,319900
589,0.11,4464,339900
590,0.11,4637,399000
591,0.09,3573,457000
592,0.09,6097,475000
593,0.13,6033,479900
594,0.1,4454,339900
595,0.37,6310,449999
596,0.06,5060,480000
597,0.11,6734,415000
598,0.11,3503,299900
599,0.09,3600,499900
600,0.11,5936,449000
601,0.11,4033,489000
602,0.09,5661,540000
603,0.19,2822,525000
604,0.18,7468,650000
605,0.11,4548,539900
606,0.1,5557,599000
607,0.05,2706,374900
608,0.09,4356,329900
609,0.08,4500,365000
610,0.17,5448,549900
611,0.09,4513,425000
612,0.09,5977,269000
613,0.1,4235,499900
614,0.08,5421,319900
615,0.11,4464,339900
616,0.11,4637,399000
617,0.09,3573,457000
618,0.09,6097,475000
619,0.13,6033,479900
620,0.1,4454,339900
621,0.37,6310,449999
622,0.06,5060,480000
623,0.11,6734,415000
624,0.29,4392,489000
625,0.11,3503,299900
626,0.09,3600,499900
627,0.11,5936,449000
628,0.11,4033,489000
629,0.09,5661,540000
630,0.11,4548,539900
631,0.07,3012,575000
632,0.07,3012,575000
633,0.19,2822,525000
634,0.18,7468,650000
635,0.1,5557,599000
636,0.05,2706,374900
637,0.09,4356,329900
638,0.08,4500,365000
639,0.17,5448,549900
640,0.09,4513,425000
641,0.09,5977,269000
642,0.1,4235,499900
643,0.08,5421,319900
644,0.11,4464,339900
645,0.11,4637,399000
646,0.09,3573,457000
647,0.09,6097,475000
648,0.13,6033,479900
649,0.1,4454,339900
650,0.06,5060,480000
651,0.11,6734,415000
652,0.29,4392,489000
653,0.09,3600,499900
654,0.08,4303,399000
655,0.11,4033,489000
656,0.09,5661,540000
657,0.11,4548,539900
658,0.07,3012,575000
659,0.07,3012,575000
660,0.19,2822,525000
661,0.09,4356,329900
662,0.08,4500,365000
663,0.17,5448,549900
664,0.09,5977,269000
665,0.1,4235,499900
666,0.08,5421,319900
667,0.11,4637,399000
668,0.13,6033,479900
669,0.1,4454,339900
670,0.11,6734,415000
671,0.09,3600,499900
672,0.09,5661,540000
673,0.19,2822,525000
674,0.11,4033,489000
675,0.11,4548,539900
676,0.37,6310,449999
677,0.11,3503,299900
678,0.11,5936,449000
679,0.18,7468,650000
680,0.05,2706,374900
681,0.09,6097,475000
682,0.06,5060,480000
683,0.23,5056,599900
684,0.11,4548,539900
685,0.09,4513,425000
686,0.1,5557,599000
687,0.05,2706,374900
688,0.09,4356,329900
689,0.08,4500,365000
690,0.17,5448,549900
691,0.09,5977,269000
692,0.09,4513,425000
693,0.1,4235,499900
694,0.08,5421,319900
695,0.11,4464,339900
696,0.11,4637,399000
697,0.09,6097,475000
698,0.13,6033,479900
699,0.1,4454,339900
700,0.37,6310,449999
701,0.06,5060,480000
702,0.11,6734,415000
703,0.29,4392,489000
704,0.11,3503,299900
705,0.09,3600,499900
706,0.11,5936,449000
707,0.08,4303,399000
708,0.11,4033,489000
709,0.07,3012,575000
710,0.07,3012,575000
711,0.18,7468,650000
712,0.19,2822,525000
713,0.09,5661,540000
714,0.11,4548,539900
715,0.37,6310,449999
716,0.11,3503,299900
717,0.11,5936,449000
718,0.18,7468,650000
719,0.07,3012,575000
720,0.07,3012,575000
721,0.08,4500,365000
722,0.09,4513,425000
723,0.11,4464,339900
724,0.09,3573,457000
725,0.09,6097,475000
726,0.13,6033,479900
727,0.37,6310,449999
728,0.06,5060,480000
729,0.11,3503,299900
730,0.11,5936,449000
731,0.11,4033,489000
732,0.18,7468,650000
733,0.11,4548,539900
734,0.07,3012,575000
735,0.07,3012,575000
736,0.29,4392,489000
737,0.11,3503,299900
738,0.11,5936,449000
739,0.18,7468,650000
740,0.37,6310,449999
741,0.37,6310,449999
742,0.11,3503,299900
743,0.11,5936,449000
744,0.18,7468,650000
745,0.11,4033,489000
746,0.13,6033,479900
747,0.09,5977,269000
748,0.1,5557,599000
749,0.09,4356,329900
750,0.08,4500,365000
751,0.09,5977,269000
752,0.17,5448,549900
753,0.1,4235,499900
754,0.08,5421,319900
755,0.11,4637,399000
756,0.09,3573,457000
757,0.13,6033,479900
758,0.1,4454,339900
759,0.11,6734,415000
760,0.09,3600,499900
761,0.11,4033,489000
762,0.19,2822,525000
763,0.09,5661,540000
764,0.11,4548,539900
765,0.08,4500,365000
766,0.1,4235,499900
767,0.11,4637,399000
768,0.08,5421,319900
769,2.27,7596,8000000
770,2.27,7596,8000000
771,2.27,7596,8000000
772,2.27,7596,8000000
773,0.67,6184,4750000
774,0.67,6184,4750000
775,0.67,6184,4750000
776,0.67,6184,4750000
777,0.67,6184,4750000
778,0.67,6184,4750000
779,2.01,6750,2000000
780,2.01,6750,2000000
781,2.01,6750,2000000
